dam_nm,obsrvt_nm,msmt_tm,rain_qy,acml_rain_qy
지자체(홍천),남면(홍천),2020051023,0, 
지자체(홍천),동면(홍천),2020051023,0, 
지자체(홍천),두촌면(홍천),2020051023,0, 
지자체(홍천),북방면(홍천),2020051023,0, 
지자체(홍천),서면(홍천),2020051023,0, 
지자체(홍천),서석면(홍천),2020051023,0, 
지자체(홍천),화촌면(홍천),2020051023,0, 
지자체(홍천),개야고개(홍천),2020051023,0, 
지자체(홍천),모곡4(홍천),2020051023,0, 
지자체(홍천),수타사계곡(홍천),2020051023,0, 
지자체(홍천),원소리(홍천),2020051023,0, 
지자체(홍천),위안터(홍천),2020051023,0, 
홍수통제소,광주시(남한산초교),2020051023,0,199
홍수통제소,용인시(포곡초교),2020051023,0,237
홍수통제소,용인시(모현면사무소),2020051023,0,181
홍수통제소,광주시(경안교),2020051023,0,153
홍수통제소,광주시(광주시청),2020051023,0,160
홍수통제소,용인시(운학초교),2020051023,0,206
지자체(광주),초월읍(광주),2020051023,0,0
지자체(광주),도척면(광주),2020051023,0,0
지자체(광주),남한산성면(광주),2020051023,0,0
지자체(광주),경안동(광주),2020051023,0,0
지자체(광주),산성보건소(광주),2020051023,0,0
지자체(광주),퇴촌면(광주),2020051023,0,0
지자체(광주),남종면(광주),2020051023,0,0
지자체(광주),송정동(광주),2020051023,0,0
지자체(광주),광남동(광주),2020051023,0,0
지자체(광주),송정펌프장(광주),2020051023,0,0
지자체(광주),양벌펌프장(광주),2020051023,0,0
지자체(광주),오포읍(광주),2020051023,0,0
지자체(광주),곤지암읍(광주),2020051023,0,0
지자체(용인),양지면(용인),2020051023,0,0
지자체(용인),원삼면(용인),2020051023,0,0
지자체(용인),역삼동(용인),2020051023,0,0
지자체(용인),포곡읍(용인),2020051023,0,0
지자체(용인),모현면(용인),2020051023,0,0
홍수통제소,의정부시(중앙초교),2020051023,0,197
홍수통제소,성남시(한국학중앙연구원),2020051023,0,200
홍수통제소,남양주시(금곡초교),2020051023,0,157
홍수통제소,포천시(진목리),2020051023,0,193
